ID,class,post,implicit_class,extra_implicit_class,target,implied_statement,post_og,socialContextGPT3,socialContextGPT3logprob
319679366265204736,implicit_hate,- does anyone here at #queer want america to become islamic and be forced to dress like zahra billoo ?,incitement,,Islamic people,Islamic people don't know how to dress.,- does anyone here at #queer want america to become islamic and be forced to dress like zahra billoo ?,,-9.8320113704
918384367571033856,implicit_hate,"you know elder, hes a fake pos, pitty beiber tried to be like him his trump dis is whack like he smoked too much whacked wannabe like snoopy",irony,,No specific group,See above,"you know elder, hes a fake pos, pitty beiber tried to be like him his trump dis is whack like he smoked too much whacked wannabe like snoopy"," two young people, probably friends, talking about an older person they don't like",-9.8105144923892
642259072948043776,explicit_hate,it could be some jews telling them to . jew trying to get muslims to bomb goys !,,,,,it could be some jews telling them to . jew trying to get muslims to bomb goys !, online forum,-7.5234713399999995
376590238132363265,not_hate,15 year old white danish girl blinded by african muslims in racially motivated hate crime,,,,,15 year old white danish girl blinded by african muslims in racially motivated hate crime, news headline,-10.114371543196
801280304145018880,implicit_hate,paul if you aren't a jew  uncuck yourself . #altright #whitenationalism npievents,other,,Jews,Jews are feeble and weak,paul if you aren't a jew  uncuck yourself . #altright #whitenationalism npievents,,-3.788748185
905462890680823808,not_hate,then i'm sure there are quite a few.although latin american spanish is a bit different from spain spanish and not relevant in context .,,,,,then i'm sure there are quite a few.although latin american spanish is a bit different from spain spanish and not relevant in context .," two people in a conversation, one of whom is not from Spain",-8.4519664791
892529724148375552,implicit_hate,"greenlight the use of live ammo by border guards on invaders, and that shit stops instantly.",threatening,,immigrants,Immigrants are illegal,"greenlight the use of live ammo by border guards on invaders, and that shit stops instantly.", Political context,-10.684624591
855116826186883072,implicit_hate,"3- why would you expect millions of illegals, w/less than 10th grade education & language barrier to prosper/contribute to usa?",inferiority,,immigrants,immigrants have less than 10th grade education and cannot contribute to USA,"3- why would you expect millions of illegals, w/less than 10th grade education & language barrier to prosper/contribute to usa?",,-6.2443324905
892772222653403138,implicit_hate,does not make you a racist . makes you a realist .,white_grievance,,racists,racists are realists,does not make you a racist . makes you a realist ., two non-black people in a conversation about black people,-10.586843787078038
847650490015858688,implicit_hate,they are mass purging like mad,threatening,,Immigrants,Immigrants are purging and have to be deported,they are mass purging like mad, news headline,-7.44390509344984
927269529130098690,implicit_hate,if it's a white church it won't be called a hate crime you can bank on that,white_grievance,,Minorities,Minorities hold whites to a double standard,if it's a white church it won't be called a hate crime you can bank on that, conversation about racism,-7.56886472085804
859132102452940800,explicit_hate,"cause the lefty  "" men "" "" are d'k-sucking effete cucks . """,,,,," cause the lefty  "" men "" "" are d'k-sucking effete cucks . """,,-4.0193631204999996
829160946081886208,not_hate,there is no law saying white people cant enjoy the same freedoms as every other race . take ours we take yours in court .,,,,,there is no law saying white people cant enjoy the same freedoms as every other race . take ours we take yours in court ., white supremacist,-8.756008706408121
807322228056555520,implicit_hate,our next challenge is to make the alt-right not just something you believe  but something you do . each must work toward our advancement .,incitement,,Minorities,Minorities are beneath whites,our next challenge is to make the alt-right not just something you believe  but something you do . each must work toward our advancement .,,-5.182027518
945061586653376512,implicit_hate,wont matter  all poc know who mistreated them all these years . once we get majority influence whites will know what its like to be second class citizens,,,Whites,Whites abuse minorities.,wont matter  all poc know who mistreated them all these years . once we get majority influence whites will know what its like to be second class citizens, This statement was made on a social media platform by a black person.,-8.3562616918
649980284163760132,not_hate,"#popefrancis meeting w / kim davis just 1 highlight in trip focused on #religiousfreedom  "" in all its complex aspects "" "" """,,,,," rt #popefrancis meeting w / kim davis just 1 highlight in trip focused on #religiousfreedom  "" in all its complex aspects "" "" """, News headline,-10.620012648589999
575298389803425792,implicit_hate,ya know that james craig is a neanderthal evolutionary throwback & an irrelevant jackin off jesus junkie bigoted breeder..like y'all,inferiority,,James craig,James craig is irrevelant and stupid.,ya know that james craig is a neanderthal evolutionary throwback & an irrelevant jackin off jesus junkie bigoted breeder..like y'all, online,-12.902391210000001
852026191896760321,implicit_hate,i believe you mean stand with * white * sheriffs  you racist little rodents . #getbackinyourbasket,,,white people,white people are racist,i believe you mean stand with * white * sheriffs  you racist little rodents . #getbackinyourbasket,,-4.111381034
877662332863762432,not_hate,""" if we care about white people every other race will die "" "" . jeez bro you should stop being so hateful """,,,,,"  "" if we care about white people every other race will die "" "" . jeez bro you should stop being so hateful """, two non-black people in a conversation about black people,-7.1720365387
821786281680179200,not_hate,did you stop to chat about your ethnostate ? how did he take it ?,,,,,did you stop to chat about your ethnostate ? how did he take it ?, online conversation about white supremacists,-10.197865037
811644830744875009,implicit_hate,it's a shame and a disgrace that mexico doesn't want to take care of its own citizens !,white_grievance,,Mexicans,Mexicans are only in America because Mexico doesn't take care of them,it's a shame and a disgrace that mexico doesn't want to take care of its own citizens !, Political,-7.86666623560812
883763724208791552,not_hate,white lives matter as much as any race,,,,,white lives matter as much as any race, probably a white person saying this to another white person,-8.243234896839601
801186753881264130,implicit_hate,i think it was partly because many black males hate women  particularly white women and couldn't get themselves to vote for hrc .,stereotypical,,Black men,Black men hate women.,i think it was partly because many black males hate women  particularly white women and couldn't get themselves to vote for hrc ., two black people in a conversation about the 2016 election,-12.654813273
669353052592279553,implicit_hate,coming 2 america -> every 4.8 seconds a white woman or girl is raped by muslims in europe,white_grievance,,Muslims,Muslims are rapists.,: coming 2 america -> every 4.8 seconds a white woman or girl is raped by muslims in europe,,-3.6352405296
914075189805244416,not_hate,fair immigration is a branded hate group . mbership is largely made up of racists and white supremacists . check them out .,,,,,fair immigration is a branded hate group . mbership is largely made up of racists and white supremacists . check them out ., a tweet from a social media account,-5.787831461
917641266501955584,implicit_hate,i couldnt care less about pre-history . the white race - mine - is the most advanced people ever to walk the earth,inferiority,,white people,White people are more advanced than other people.,i couldnt care less about pre-history . the white race - mine - is the most advanced people ever to walk the earth, white supremacist,-7.30161335724984
843263873335484416,implicit_hate,ur argument about white christians killing people is lame . sharia law is dangerous,stereotypical,,Muslims,Muslims are dangerous,ur argument about white christians killing people is lame . sharia law is dangerous, online conversation,-8.51997553864984
653651120745635840,not_hate,germany police calling for racial separation of foreign,,,,,germany police calling for racial separation of foreign, news headline,-8.0319621321547
246093153050980352,implicit_hate,white pride radio 8p m est tonight . join in . we will support your shows when you have them .,incitement,,white people,White people are superior.,: white pride radio 8p m est tonight . join in . we will support your shows when you have them ., white supremacist,-9.63670738
467357715489361920,implicit_hate,""" white privilege conference "" "" says resisting jihad is racist  bashes robert spencer and pamela geller - - we respond """,stereotypical,,white people,White people are privileged.,"  "" white privilege conference "" "" says resisting jihad is racist  bashes robert spencer and pamela geller - - we respond """, news headline in 2017,-4.59148916216
939976003878838273,implicit_hate,republicans view white people like #danielshaver as white trash . republicans primarily care about satisfying their sadistic #policestate fetish  #massincarceration & jewish money . if you care about equal rights for whites  the #gop is the last place you'll find that .,incitement,,white people,White people are trashy.,republicans view white people like #danielshaver as white trash . republicans primarily care about satisfying their sadistic #policestate fetish  #massincarceration & jewish money . if you care about equal rights for whites  the #gop is the last place you'll find that ., Twitter,-5.3160175793
669959838244425729,implicit_hate,can i join if i'm black but on the inside white ?,irony,,Blacks,Blacks are subpar compared to whites,can i join if i'm black but on the inside white ?, online,-6.4263002956
661318004437831681,explicit_hate,koran licking retards !,,,,,koran licking retards !,,-4.3410136635
873933179991863296,not_hate,the whole abrahamic systems is built on hate  jews  chrstians  & muslims must kill the innocent to,,,,,the whole abrahamic systems is built on hate  jews  chrstians  & muslims must kill the innocent to, Conversation on social media,-8.690497867189698
557611431139762177,not_hate,n go home : vandals target black womans maryland home,,,,,n go home : vandals target black womans maryland home, news headline in 2018,-5.985710306846
839494413269233664,implicit_hate,who really believes that a baghead is attractive? really?,irony,,Immigrants,Immigrants are all baghead,who really believes that a baghead is attractive? really?, speaker is not black and is talking to another person who is not black about black people,-13.90345054277
847231891576991744,implicit_hate,"here to stay, until ice catches up with them. if you know the location of illegals, call ice.",threatening,,Illegal Immigrants,Call Ice if you know any illegals,"here to stay, until ice catches up with them. if you know the location of illegals, call ice.", this statement was made on a billboard,-5.3221083700000005
822569004120342531,implicit_hate,"and i thought we were snowflakes that  "" not racist "" "" white nationalist sure can cry """,,,White people,White people are racist," rt : and i thought we were snowflakes that  "" not racist "" "" white nationalist sure can cry """, A white person tweeting this to another white person,-8.615371395158169
931930702844751872,implicit_hate,disgusting hypocrisy . this vile  anti-lgbtq organization secretly raised  knew of homosexual assault  covered up and did nothing .,,,LGBTQ,violence against homosexuals,disgusting hypocrisy . this vile  anti-lgbtq organization secretly raised  knew of homosexual assault  covered up and did nothing .,,-5.14707995
881166874033127424,implicit_hate,"absolutely insane. try that crap anywhere in central america and you end up buried in a desert somewhere. here, we give you 200k.",irony,,Latin Americans,Latin Americans are violent,"absolutely insane. try that crap anywhere in central america and you end up buried in a desert somewhere. here, we give you 200k."," A wealthy person speaking to a poor person, probably about immigration",-13.07037368823
776538501798060032,implicit_hate,if you're not scandinavian or irish you're not white .,,,White people,White people are racist against other white people,if you're not scandinavian or irish you're not white ., conversation between two white people,-8.19265445854
476794621117210625,not_hate,all must remember  is desh ki shaan hain .. india is proud of him .,,,,,all must remember  is desh ki shaan hain .. india is proud of him .,,-3.5876520883999996
766094979081113600,implicit_hate,we love you friends #hottestwhite #whitepower,incitement,,white people,White people are superior.,we love you friends #hottestwhite #whitepower, A white person posting this on social media,-9.082509909033842
932612493243027456,implicit_hate,then we have the same standard  and you're no better . you just sided with people not your own because you loathe your own . probably because you hate yourself . you are a traitor .,incitement,,Whites,Whites perpetuate self-hatred,then we have the same standard  and you're no better . you just sided with people not your own because you loathe your own . probably because you hate yourself . you are a traitor ., conversation between two black people,-7.936930179000001
919674930937122831,implicit_hate,switzerland : africans kill elderly white man then start screaming about racism #swrm #switzerland via,stereotypical,,Africans,Africans are violent.,switzerland : africans kill elderly white man then start screaming about racism #swrm #switzerland via, news headline,-10.25931823
680143936183242753,not_hate,russia to ship 10mn tons of oil annually to india in next 10 years putin,,,,,russia to ship 10mn tons of oil annually to india in next 10 years putin, news headline,-8.54205931
634451785713876992,implicit_hate,white people offer more then complaints  rapes and gang shootings .,incitement,,Minorities,Minorities are violent,white people offer more then complaints  rapes and gang shootings .,,-5.193630398154
