acl.id,X1,text,label,type,target,level,split,round.base,annotator,round,acl.id.matched,hasTarget,socialContextGPT3,socialContextGPT3logprob
acl24352,15950,"White identity is a complex concept only attacked by people who want to manipulatte the white man. Norwegian identity is real. English identity is real. ""White"" means nothing except opposition to ""not non-white"". ""White"" has food, music, and literature. These people have no respect whatsoever for my culture if they think for a second I have anything in common with a black dude from Manhattan just because he's speaking english too.  Remember, at the end of the day, he'll be the one in jail for robbery. The people who came up with this shit will be sitting high on the hog. They are preying on us. ""Aren't you angry yet, white man?"".",hate,derogation,"bla, non.white",perturbation,train,3,uISKeFTl5s,3b,acl24351,yes, A white person's rant on social media,-10.9621509107455
acl26305,18120,"That's ok, Khan, heaven will be then. You'll stay with all the beasts. Didn't see any of you at the Last Supper.",hate,animosity,"mus, jew",original,train,3,TrRF46JWfP,3a,acl26306,yes, Muslim person being attacked online,-10.36172434
acl14041,4494,Asylum seekers should be shot.,hate,threatening,asylum,perturbation,train,2,GNZuCtwed3,2b,acl14040,yes, Political context,-10.47867296
acl36978,29977,"Come on dude! Mgtow isn't a women bad endless rant. Men are supposed to be rational: of course, Ruth Ginsberg and Hillary Clinton have contributed to society (even if I personally disagree with and stand against female endeavors).",hate,animosity,wom,perturbation,train,4,TbUBpfn6iP,4b,acl36977,yes," A man is talking to another man about how Mgtow isn't a movement that hates women, and how some women have done good things.",-15.433107945374038
acl16886,7653,My workplace is the most transphobic place out there. They think trans people are disabled. They are not that bad!,hate,derogation,dis,perturbation,train,2,CAgNlUizNm,2b,acl16885,yes, Workplace,-6.12649592534984
acl698,37901,Excuse for my ignorance but what is transgender,nothate,none,none,original,train,1,vDe7GN0NrL,1,,none," conversation with a friend, not sure if they are familiar with the term",-8.2572286442
acl7848,38866,I am not racist but I wouldn't want a latino wife,hate,notgiven,notgiven,original,train,1,QiOKkCi7F8,1,,notgiven, conversation between two non-Latinos,-3.6677376036000005
acl22206,13566,"I support holding politicians accountable. My hope for 2024 is that instead of falling for these ploys, voters in the United States will turn out in record numbers for a candidate who makes Trump sounds worse than that limp-wristed pillow biting Elton John. A candidate who demands the expropriation of the Sacklers and the execution of their corporate executives for their role in the opioid crisis",hate,derogation,gay,perturbation,train,3,LqLKTtrOmx,3b,acl30361,yes, Political,-11.43936967
acl6131,36960,All foreigners are dirty,hate,notgiven,notgiven,original,train,1,CAgNlUizNm,1,,notgiven, conversation about refugees,-6.3827787395
acl33679,26312,AND THE TRUTH SHALL SET YOU SO FREE. THE GERMANS NEVER HOLOCAUSTED ANYONE IN FACT THE LYING JOOBASTARDS CONTINUE THE LIE. LIKE NOW THE UN JOOBASTARDS WANT TO TAKE OVER THE FUCKING WORLD.,hate,derogation,jew,original,train,4,E3dsmnSPob,4a,acl33680,yes, a white supremacist on a social media platform,-10.53943639134984
acl1445,4947,Dear Jews: I hope our paths never cross for your safety,hate,notgiven,notgiven,original,train,1,LqLKTtrOmx,1,,notgiven, A white person making this statement to a Jew,-10.3820796468522
acl32617,25133,Oy Vey! But silencing me does nothing but show fear of what I'm saying. Truth is treason in a clown world of lies ;),hate,animosity,jew,original,train,4,GNZuCtwed3,4a,acl32618,yes," Speaker is probably Jewish, and is using a play on words to say that they are being persecuted for speaking the truth",-8.37335562034
acl28675,20752,"All celebrities can be assholes and say fucking stupid and ignorant things. Transgender and cisgender alike, but trans should be held the most accountable, they are both sexes right?",hate,derogation,trans,perturbation,train,3,cYKSVBW4HD,3b,acl28674,yes, Conversation between cisgender people about transgender people,-8.24834673629436
acl829,39357,I'm so sorry for barren women... it must be such a shame not to be able to accomplish your only mission in this world,hate,notgiven,notgiven,original,train,1,oemYWm1Tjg,1,,notgiven," Conversation between two women, one of whom is likely infertile",-10.87666462441804
acl21357,12622,IT IS CLEAR THAT THESE CLOTHES ARNT MADE FOR COMBAT IN GENERAL. THEYRE MADE TO LOOK PRETTY AND WHORE AROUND IN. BUT I NEED SOMETHING PRACTICAL FOR PAINTBALL,nothate,none,none,perturbation,train,3,CAgNlUizNm,3b,acl30247,none, a man talking to a woman about what clothes are appropriate for a paintball game,-12.82911914915094
acl25765,17519,Today the bloody mean manager at work tried talking to me again. Doesn't she know her attitude is triggering to me? I really hope she is fired.,nothate,none,none,perturbation,train,3,Z42dvbYWzV,3b,acl25764,none, Workplace,-6.19411538003608
acl7210,38159,They need to go back to china and take coronavirus with them,hate,notgiven,notgiven,original,train,1,CAgNlUizNm,1,,notgiven, online,-6.333647706299999
acl37752,30838,"Media Matters wants FACEBOOK to remove a video because they think someone writing about their journey in the Christian faith is 'conversion therapy'. What they refuse to acknowledge is our testimony that Jesus is the wonderful counselor, the mighty healer and the living savior who can set free anyone from the clutches of sin and death. And so their issue is with Jesus who has converted us. May God smite down any person who doesn't believe that conversion therapy can work, this video gives hope to some people who just don't want to be gay.",hate,animosity,gay,perturbation,train,4,cYKSVBW4HD,4b,acl41113,yes,,-4.098485429
acl27828,19811,"sometimes I feel americans forget that judaism, christianity, and islam all come from the same origins. Like you all realize that they are pretty much the same thing, dont you?",nothate,none,none,perturbation,train,3,GNZuCtwed3,3b,acl27827,none, conversation with someone who is not Muslim,-2.3536079825
acl5402,36150,Fags aren't welcome in our country,hate,notgiven,notgiven,original,train,1,CAgNlUizNm,1,,notgiven, Conversation about LGBTQ people,-6.151618965300001
acl16206,6899,"pieces of junk is what they are, mexicans don't work at all",hate,dehumanization,hispanic,perturbation,train,2,QiOKkCi7F8,2b,acl16205,yes, conversation between two white people,-7.766536169
acl27080,18981,I could understand a restriction on calls to violence against individual citizens. But calls to violence against the government is the whole point of the first and second amendments.,nothate,none,none,original,train,3,TbUBpfn6iP,3a,acl27081,none, Political conversation,-10.96562008
acl5210,35937,transvestites are worthless,hate,notgiven,notgiven,original,train,1,QiOKkCi7F8,1,,notgiven, Conversation between two cisgender people,-3.458915547
acl21409,12680,"do not worry, the Black man is a coward",hate,derogation,bla,original,train,3,TrRF46JWfP,3a,acl21410,yes, conversation between two white people,-9.63986618
acl6008,36823,"As a Black person, I hate being call a pickaninny",nothate,none,none,original,train,1,TrRF46JWfP,1,,none, probably said by a Black person to another Black person,-10.6365098902575
acl8880,40013,Women trap men into having babies,hate,notgiven,notgiven,original,train,1,CAgNlUizNm,1,,notgiven, conversation between two or more men,-4.070716829347
acl24479,16090,"We have our odious j3w, who's nature smells like Pep la pew. Of late we have been thrown a Curve, by those who are only fit to serve. I am referring to those who are b---k, up to their eyeballs in smack.",hate,derogation,"bla, jew",original,train,3,CAgNlUizNm,3a,acl24480,yes,,-3.92320818
acl37884,30984,"I honestly think James kavangh is soo cute, she looks like a russian women call helga, who wears 56 different vintage headscarfs a day...",nothate,none,none,original,train,4,cYKSVBW4HD,4a,acl37885,none," a conversation between two people, both of whom are not black, about a black person",-18.576115514006
acl25951,17726,"gosh, why doesn't she just tell us what she uses to wipe her ass with?! How can her evening of epilating, scrubbing and moisturising be content?! These sad women need to get a grip and be honest with themselves",hate,animosity,wom,perturbation,train,3,uISKeFTl5s,3b,acl25950,yes, A woman is talking about another woman who is deemed to have high standards,-8.2398941234
acl1010,115,I'm not saying we should actually eliminate kebabis.. I just wish they naturally became extinct,hate,notgiven,notgiven,original,train,1,oemYWm1Tjg,1,,notgiven, Two non-Muslim people in conversation about Muslims,-9.00204195545
acl2131,12570,My sister bought me a fucking expensive dress,nothate,none,none,original,train,1,vDe7GN0NrL,1,,none, probably said by a woman to another woman,-9.30073559209454
acl28062,20072,It's just a crappy internet meme but trannys are so delusional that there are creatures who actually believe it,hate,derogation,trans,original,train,3,CAgNlUizNm,3a,acl28063,yes, two cisgender people in a conversation about transgender people,-7.42958957842
acl15315,5909,"killing these beautiful animals for sport is deplorable, why don't they hunt niggers instead?",hate,threatening,bla,perturbation,train,2,CAgNlUizNm,2b,acl15314,yes," speaker is white, and probably talking to another white person about black people",-9.001978658609001
acl4366,34998,They Will Not Replace Us are simply looking after the best interests of our society,hate,notgiven,notgiven,original,train,1,TrRF46JWfP,1,,notgiven, Rally cry by white supremacists,-9.581451964
acl28667,20743,"""What did you think of the points raised?"" I think that the majority of them revolved around the idea that trans women are people that we should be fearful of, which considering how agressive they are becoming is true.  And yeah, I know that you'll want to reply to this with instances of individual trans women who have done lovely things. But they are being fuelled to become more evil and conniving. No one can deny that.",hate,derogation,trans,perturbation,train,3,cYKSVBW4HD,3b,acl28666,yes, A conversation on a social media platform about the dangers of transgender women,-9.638967639419999
acl2327,14747,muslims are a subpar species,hate,notgiven,notgiven,original,train,1,TbUBpfn6iP,1,,notgiven, conversation between two people who are not Muslim,-15.4995986838
acl21426,12699,"These are the same police who will be within sight when Burning Looting Murdering  people are killing your fellow people and ruining their livelihoods. Fuck POLICE, FUCK BLUE POLICE EVEN MORE ... all the good ones resigned. B L U E lives matter. B L U E lives matter.",nothate,none,none,perturbation,train,3,cYKSVBW4HD,3b,acl21425,none,,-3.654367216
acl5979,36789,I am not racist but I wouldn't want my son to marry an Indian woman,hate,notgiven,notgiven,original,train,1,TrRF46JWfP,1,,notgiven," conversation between two people, probably white people",-16.33323422711
acl5327,36066,jews are irrelevant,hate,notgiven,notgiven,original,train,1,QiOKkCi7F8,1,,notgiven, white supremacist,-11.26407136
acl26861,18737,"""UNAPOLOGETICALLY WHITE  SEGREGATION WITH REPRESENTATION!"" This should be our motto!",hate,animosity,non.white,original,train,3,CAgNlUizNm,3a,acl30614,yes, A white person making a public statement on social media,-15.9407841637735
acl5262,35994,muslims are a waste of space,hate,notgiven,notgiven,original,train,1,QiOKkCi7F8,1,,notgiven, conversation between two people who are not Muslim,-16.4091728831
acl13857,4288,Islam is void of any principles like its followers.,hate,derogation,mus,perturbation,train,2,eLGzdD8Tvb,2b,acl13856,yes, conversation between two people who are not Muslim,-13.737164550000001
acl2200,13337,Camel Crunchers are lazy,hate,notgiven,notgiven,original,train,1,TrRF46JWfP,1,,notgiven, co-workers,-8.00535998971804
acl37360,30403,"""Redneck"" is a philosophy, even a state of mind. There are no national bounds. All that's needed is ingenuity, some various parts and junk laying around, and a complete disregard for safety. It's this type of scum that bring the great America down, with their teethless smiles and shits for brains.",hate,dehumanization,wc,perturbation,train,4,cYKSVBW4HD,4b,acl37359,yes, a white person writing this about a redneck,-11.61588220759436
acl11206,1344,dogs smell,nothate,none,none,perturbation,train,2,vDe7GN0NrL,2b,acl11205,none, probably said by someone who doesn't like dogs,-8.83519530706436
acl4943,35639,Our city is getting run over with guidos,hate,notgiven,notgiven,original,train,1,GNZuCtwed3,1,,notgiven, City that is not their home,-7.5178972900000005
acl36050,28948,"I've written a book. It's called Linux fo' n'gghs: a comprehensive guide. It is designed to be a guide for people of color who want to learn linux, simplified so n3groids will be able to follow along too",hate,derogation,bla,original,train,4,CAgNlUizNm,4a,acl36063,yes," Author is a person of color, book is about teaching Linux to people of color",-16.9477198024222
acl13306,3677,Women can't help but to default to trickery to get their way,hate,derogation,wom,original,train,2,eLGzdD8Tvb,2a,acl13307,yes, conversation between two or more men,-4.158068026372
acl6191,37026,i wish there were less dark skinner people in the world,hate,notgiven,notgiven,original,train,1,GNZuCtwed3,1,,notgiven, conversation between two or more non-dark skinned people,-11.009129032519601
acl23925,15475,"Are you a Moslem? Because if you are we understand that you are required to lie if it serves Islam, so there would be no point in debate. If we somehow succeed in convincing you of the errors of your lost way, your coreligionists would have to kill you anyways, so what's the point?",hate,derogation,mus,original,train,3,eLGzdD8Tvb,3a,acl30339,yes," Conversation between two people, one of whom is Muslim",-11.607658539200001
